author	text_name	metric	pearson_r	p_value	topic_id	topic_exclusivity	topic_coherence	topic_prevalence	topic_persistence	windows_with_topic	windows_without_topic
poe	the_telltale_heart	syntax.avg_tokens_per_sentence	0.465	<0.001	7	0.906	0.671	0.425	6.750	110	47
poe	the_telltale_heart	syntax.median_depth	0.423	0.001	7	0.906	0.671	0.425	6.750	110	47
poe	the_telltale_heart	syntax.median_depth	0.413	0.002	8	0.938	0.684	0.319	4.750	106	51
poe	the_telltale_heart	syntax.avg_dependents_per_head.main_clause	0.410	0.004	7	0.906	0.671	0.425	6.750	110	47
poe	the_telltale_heart	discourse.pronoun_ratio	0.405	<0.001	6	1.000	1.000	0.080	4.000	26	131
poe	the_telltale_heart	syntax.clause_ratios.subordination_ratio	0.404	0.004	5	0.969	0.760	0.413	13.000	95	62
poe	the_telltale_heart	syntax.avg_tokens_per_sentence	0.401	0.007	5	0.969	0.760	0.413	13.000	95	62
poe	the_telltale_heart	syntax.max_depth	0.400	<0.001	7	0.906	0.671	0.425	6.750	110	47
poe	the_telltale_heart	syntax.avg_tokens_per_sentence	0.395	0.010	8	0.938	0.684	0.319	4.750	106	51
poe	the_telltale_heart	syntax.avg_dependents_per_head.main_clause	0.391	0.005	5	0.969	0.760	0.413	13.000	95	62
