author	text_name	metric	pearson_r	p_value	topic_id	topic_exclusivity	topic_coherence	topic_prevalence	topic_persistence	windows_with_topic	windows_without_topic
barthelme	the_school	syntax.clause_ratios.subordination_ratio	-0.580	<0.001	1	1.000	0.264	0.427	5.667	82	10
calvino	all_at_one_point	log_prob.token_weighted_mean_surprisal	-0.576	0.017	1	1.000	0.410	0.582	4.000	56	4
calvino	all_at_one_point	log_prob.max_token_surprisal	-0.555	0.011	1	1.000	0.410	0.582	4.000	56	4
barthelme	the_balloon	syntax.avg_dependents_per_head.main_clause	-0.519	0.016	0	1.000	0.894	0.813	10.000	42	7
calvino	the_spiral	discourse.pronoun_ratio	0.517	<0.001	0	0.833	0.784	0.278	3.250	71	50
barthelme	the_balloon	discourse.explicit_connectives_per_token	0.517	0.018	1	1.000	0.939	0.811	10.000	42	7
barthelme	the_school	syntax.avg_tokens_per_sentence	-0.462	0.004	1	1.000	0.264	0.427	5.667	82	10
calvino	all_at_one_point	lexico_semantics.information_content	0.460	0.017	0	1.000	0.748	0.445	10.000	42	18
calvino	all_at_one_point	lexico_semantics.avg_word_freq	-0.454	0.025	0	1.000	0.748	0.445	10.000	42	18
calvino	all_at_one_point	lexico_semantics.normalized_freq	-0.454	0.023	0	1.000	0.748	0.445	10.000	42	18
