author	text_name	metric	pearson_r	p_value	topic_id	topic_exclusivity	topic_coherence	topic_prevalence	topic_persistence	windows_with_topic	windows_without_topic
chopin	the_story_of_an_hour	log_prob.max_token_surprisal	-0.621	0.002	2	1.000	0.693	0.797	14.000	56	9
james	the_real_thing	syntax.median_depth	0.588	<0.001	11	0.982	0.879	0.194	5.250	106	174
james	the_real_thing	syntax.avg_tokens_per_sentence	0.585	<0.001	11	0.982	0.879	0.194	5.250	106	174
chopin	the_story_of_an_hour	log_prob.token_weighted_surprisal_variance	-0.558	0.003	2	1.000	0.693	0.797	14.000	56	9
james	the_real_thing	syntax.max_depth	0.542	<0.001	11	0.982	0.879	0.194	5.250	106	174
chopin	the_story_of_an_hour	syntax.avg_mean_dependency_distance	-0.540	0.005	0	0.938	0.861	0.640	6.500	56	9
james	the_real_thing	syntax.punctuation_per_token	-0.540	<0.001	11	0.982	0.879	0.194	5.250	106	174
chopin	the_story_of_an_hour	log_prob.max_token_surprisal	-0.539	0.018	0	0.938	0.861	0.640	6.500	56	9
chopin	the_story_of_an_hour	log_prob.token_weighted_mean_surprisal	-0.531	0.015	0	0.938	0.861	0.640	6.500	56	9
james	the_real_thing	syntax.avg_mean_dependency_distance	0.530	<0.001	11	0.982	0.879	0.194	5.250	106	174
