author	text_name	metric	pearson_r	p_value	topic_id	topic_exclusivity	topic_coherence	topic_prevalence	topic_persistence	windows_with_topic	windows_without_topic
kleist	kleist_earthquake_in_chile	syntax.median_depth	-0.642	<0.001	2	1.000	0.961	0.290	8.500	78	98
kleist	kleist_earthquake_in_chile	syntax.punctuation_per_token	0.622	<0.001	2	1.000	0.961	0.290	8.500	78	98
kleist	kleist_earthquake_in_chile	syntax.avg_tokens_per_sentence	-0.579	<0.001	2	1.000	0.961	0.290	8.500	78	98
kleist	kleist_earthquake_in_chile	syntax.max_depth	-0.543	<0.001	2	1.000	0.961	0.290	8.500	78	98
kleist	kleist_earthquake_in_chile	syntax.clause_ratios.coordination_ratio	-0.503	<0.001	2	1.000	0.961	0.290	8.500	78	98
kleist	saint_cecilia	discourse.connective_counts_per_token.Comparison	-0.489	0.023	3	0.958	0.873	0.518	5.000	76	4
kleist	kleist_earthquake_in_chile	syntax.clause_counts_per_token.main	0.486	<0.001	2	1.000	0.961	0.290	8.500	78	98
kleist	kleist_marquise_of_o	syntax.punctuation_per_token	0.425	<0.001	4	0.966	0.563	0.160	3.250	141	509
kleist	kleist_marquise_of_o	syntax.punctuation_per_token	0.417	<0.001	7	0.932	0.574	0.174	4.667	155	495
kleist	kleist_marquise_of_o	syntax.clause_counts_per_token.main	0.404	<0.001	4	0.966	0.563	0.160	3.250	141	509
