genre	author	text_name	metric	pearson_r	p_value	n	mean_with_topic	mean_without_topic	windows_with_central_topic	windows_without_central_topic
realism	chopin	the_story_of_an_hour	log_prob.max_token_surprisal	-0.5927472575283648	0.00849575212393803	65	11.433042553571429	14.63952711111111	56	9
realism	chopin	the_story_of_an_hour	log_prob.token_weighted_surprisal_variance	-0.549299409193059	0.0069965017491254375	65	8.089839464285715	11.171239222222223	56	9
realism	chopin	the_story_of_an_hour	syntax.avg_mean_dependency_distance	-0.5190942914001018	0.011494252873563218	65	2.784083267857143	3.4861614444444444	56	9
realism	chopin	the_story_of_an_hour	log_prob.token_weighted_mean_surprisal	-0.48551417566726685	0.014992503748125937	65	3.673715607142857	4.230255333333333	56	9
realism	chopin	a_pair_of_silk_stockings	syntax.punctuation_per_token	-0.4802904313841043	0.001999000499750125	104	0.097659	0.1454199696969697	71	33
realism	chopin	a_pair_of_silk_stockings	discourse.connective_counts_per_token.Temporal	0.40824004732501873	0.005497251374312844	104	0.01290981690140845	0.0018985151515151515	71	33
realism	chopin	a_pair_of_silk_stockings	discourse.tense_shift	-0.37967479793861975	0.05147426286856572	104	0.0	0.12151515151515152	71	33
realism	chopin	the_story_of_an_hour	syntax.depth_skew	-0.365603482532209	0.06046976511744128	65	0.04017857142857143	0.22111111111111112	56	9
realism	chopin	a_pair_of_silk_stockings	syntax.clause_counts_per_token.main	-0.35069708990582765	0.005497251374312844	104	0.05665218309859155	0.07360909090909092	71	33
realism	chopin	a_pair_of_silk_stockings	syntax.max_depth	0.33418191883258236	0.01699150424787606	104	7.394366197183099	6.121212121212121	71	33
