metric	pearson_r	p_value	text_count	total_windows	fisher_z
log_prob.token_weighted_mean_surprisal	0.160	0.026	3	617	0.161
discourse.explicit_connectives_per_token	0.136	0.040	3	617	0.137
syntax.median_depth	0.130	0.079	3	617	0.131
discourse.connective_counts_per_token.Temporal	0.109	0.087	3	617	0.109
syntax.punctuation_per_token	-0.098	0.121	3	617	-0.098
syntax.max_depth	0.096	0.144	3	617	0.096
log_prob.token_weighted_surprisal_variance	0.088	0.134	3	617	0.088
syntax.avg_tokens_per_sentence	0.075	0.361	3	617	0.076
discourse.content_overlap_ratio	-0.075	0.264	3	617	-0.075
log_prob.max_token_surprisal	0.073	0.176	3	617	0.073
