metric	pearson_r	p_value	text_count	total_windows	fisher_z
discourse.pronoun_ratio	0.080	0.134	7	1116	0.080
syntax.avg_dependents_per_head.main_clause	-0.072	0.162	7	1116	-0.072
lexico_semantics.lexical_density_per_token	-0.068	0.203	7	1116	-0.068
lexico_semantics.lexical_diversity_mattr.mattr_score	0.058	0.130	7	1116	0.058
log_prob.token_weighted_surprisal_variance	-0.053	0.235	7	1116	-0.053
syntax.avg_mean_dependency_distance	0.050	0.325	7	1116	0.051
discourse.connective_counts_per_token.Contingency	0.049	0.359	7	1116	0.049
syntax.avg_tokens_per_sentence	-0.047	0.337	7	1116	-0.047
log_prob.max_token_surprisal	-0.029	0.587	7	1116	-0.029
discourse.tense_shift	0.029	0.625	7	1116	0.029
