metric	pearson_r	p_value	text_count	total_windows	fisher_z
lexico_semantics.information_content	-0.103	<0.001	8	3242	-0.104
log_prob.token_weighted_mean_surprisal	-0.069	0.015	8	3242	-0.070
log_prob.max_token_surprisal	-0.065	0.016	8	3242	-0.065
log_prob.token_weighted_surprisal_variance	-0.061	0.028	8	3242	-0.061
discourse.modality_per_token	0.056	0.030	8	3242	0.056
discourse.entity_overlap_ratio	-0.053	0.033	8	3242	-0.053
discourse.content_overlap_ratio	-0.049	0.050	8	3242	-0.049
discourse.pronoun_ratio	0.046	0.097	8	3242	0.046
syntax.avg_dependents_per_head.main_clause	-0.040	0.167	8	3242	-0.040
syntax.clause_counts_per_token.subordinate	0.037	0.164	8	3242	0.037
