metric	pearson_r	p_value	text_count	total_windows	fisher_z
log_prob.token_weighted_mean_surprisal	-0.129	<0.001	8	2763	-0.130
syntax.median_depth	-0.120	<0.001	8	2763	-0.121
log_prob.max_token_surprisal	-0.114	<0.001	8	2763	-0.114
syntax.punctuation_per_token	0.110	0.006	8	2763	0.110
syntax.max_depth	-0.108	0.002	8	2763	-0.108
log_prob.token_weighted_surprisal_variance	-0.095	0.001	8	2763	-0.095
syntax.clause_counts_per_token.main	0.091	0.005	8	2763	0.091
lexico_semantics.lexical_diversity_mattr.mattr_score	0.087	0.004	8	2763	0.088
discourse.pronoun_ratio	0.083	0.011	8	2763	0.084
lexico_semantics.normalized_freq	-0.077	0.026	8	2763	-0.077
